Position,Track,Artists
1,Te Felicito,"Shakira, Rauw Alejandro"
2,Una Noche Sin Pensar,Sebastian Yatra
3,Tacones Rojos,Sebastian Yatra
4,KESI - Remix,"Camilo, Shawn Mendes"
5,Mi Pecadito,"Mike Bahía, Greeicy"
6,TV,Sebastian Yatra
7,La Vida,Mike Bahía
8,Pasa,"Fonseca, Matisse"
9,El Parrandero (Masters en Parranda),"Carlos Vives, Sin Animo De Lucro, JBot & Tuti"
10,Amor,Cali Y El Dandee
11,Tabaco y Chanel - Re-Recorded,"Bacilos, Morat"
12,Te Creí,"Greeicy, Cultura Profética"
13,Att: Amor,"Greeicy, Mike Bahía"
14,El Amor Es Perfecto,Cabas
